#,Name,Price,1h %,24h %,7d %,Market Cap (short),Market Cap (full),Volume in $ (24h),Volume in coin (24h),Circulating Supply
28,Bitcoin (BCH),$132.83,-0.17%,4.78%,10.19%,2.57B,"$2,568,417,827","$262,091,727","1,968,578 BCH","19,337,438 BCH"
29,Aptos (APT),$13.95,-0.07%,10.82%,28.70%,2.38B,"$2,384,300,509","$1,229,983,363","88,169,210 APT","171,819,136 APT"
30,Lido (LDO),$2.80,-0.57%,4.69%,11.16%,2.39B,"$2,387,907,191","$279,758,715","99,802,133 LDO","854,123,732 LDO"
31,Stellar (XLM),$0.08838,0.11%,4.52%,9.44%,2.34B,"$2,339,811,721","$114,270,949","1,290,272,485 XLM","26,473,345,425 XLM"
32,TrueUSD (TUSD),$1.00,-0.07%,0.00%,0.09%,2.03B,"$2,028,539,432","$35,531,607","35,503,222 TUSD","2,027,990,263 TUSD"
33,Hedera (HBAR),$0.06663,-0.19%,2.34%,9.30%,1.87B,"$1,871,142,084","$68,224,676","1,020,740,023 HBAR","28,083,557,506 HBAR"
34,NEAR (NEAR),$2.14,0.00%,5.42%,10.20%,1.85B,"$1,849,578,648","$173,836,038","81,132,999 NEAR","866,021,029 NEAR"
35,Cronos (CRO),$0.07316,-0.14%,1.54%,5.48%,1.85B,"$1,848,276,561","$26,381,361","360,613,340 CRO","25,263,013,692 CRO"
36,VeChain (VET),$0.02411,0.01%,3.78%,6.71%,1.75B,"$1,747,809,591","$99,813,758","4,123,856,216 VET","72,511,146,418 VET"
37,Internet (ICP),$5.65,0.26%,5.39%,8.39%,1.67B,"$1,673,399,914","$79,068,148","13,935,971 ICP","296,067,128 ICP"
38,ApeCoin (APE),$4.40,0.47%,0.34%,-4.23%,1.62B,"$1,622,032,064","$185,547,610","41,945,233 APE","368,593,750 APE"
39,Algorand (ALGO),$0.224,-0.22%,5.90%,5.36%,1.59B,"$1,593,887,701","$119,336,386","530,739,000 ALGO","7,116,082,132 ALGO"
40,Quant (QNT),$130.17,0.18%,2.36%,9.08%,1.57B,"$1,571,754,606","$40,922,522","312,802 QNT","12,072,738 QNT"
41,Stacks (STX),$1.05,-1.26%,26.07%,58.61%,1.43B,"$1,432,560,125","$727,227,148","691,839,326 STX","1,366,513,227 STX"
42,The (GRT),$0.1552,-0.25%,8.37%,15.55%,1.37B,"$1,371,852,503","$182,843,966","1,171,549,032 GRT","8,837,749,011 GRT"
43,Fantom (FTM),$0.4518,-0.15%,7.88%,18.18%,1.25B,"$1,254,979,989","$506,708,496","1,117,079,505 FTM","2,778,364,647 FTM"
44,EOS (EOS),$1.13,-0.51%,5.15%,-2.07%,1.22B,"$1,221,458,304","$249,729,472","220,377,991 EOS","1,085,362,078 EOS"
45,Decentraland (MANA),$0.6153,-0.51%,3.43%,7.48%,1.14B,"$1,141,527,912","$161,277,833","261,048,464 MANA","1,855,084,192 MANA"
46,Tezos (XTZ),$1.22,-0.47%,12.27%,13.20%,1.14B,"$1,135,547,347","$81,246,982","66,404,699 XTZ","930,604,314 XTZ"
47,Aave (AAVE),$80.36,0.25%,5.87%,8.81%,1.13B,"$1,132,819,928","$113,097,297","1,404,914 AAVE","14,093,193 AAVE"
48,BitDAO (BIT),$0.5403,0.04%,0.17%,4.15%,1.13B,"$1,129,674,521","$10,345,205","19,153,173 BIT","2,090,946,169 BIT"
49,MultiversX (EGLD),$44.11,0.26%,3.50%,7.09%,1.11B,"$1,108,385,131","$43,425,195","981,047 EGLD","25,131,476 EGLD"
50,Flow (FLOW),$1.05,-0.14%,5.77%,7.22%,1.09B,"$1,092,461,626","$92,341,669","87,345,053 FLOW","1,036,200,000 FLOW"
51,Theta (THETA),$1.09,-0.13%,5.80%,11.74%,1.09B,"$1,091,909,039","$49,198,282","44,950,658 THETA","1,000,000,000 THETA"
52,ImmutableX (IMX),$1.25,0.06%,27.98%,12.31%,1.08B,"$1,082,929,003","$147,935,267","118,232,640 IMX","868,583,515 IMX"
53,Axie (AXS),$8.73,-0.35%,5.29%,4.56%,994.37M,"$994,367,048","$112,663,806","12,854,822 AXS","113,918,073 AXS"
54,The (SAND),$0.6461,0.24%,4.74%,9.43%,968.67M,"$968,666,731","$251,040,311","387,091,094 SAND","1,499,470,108 SAND"
55,Conflux (CFX),$0.3478,0.61%,37.73%,65.75%,923.32M,"$923,319,769","$1,402,020,256","3,991,329,830 CFX","2,654,470,678 CFX"
56,KuCoin (KCS),$9.23,-0.15%,3.50%,7.98%,908.83M,"$908,832,201","$3,574,218","386,863 KCS","98,379,861 KCS"
57,Pax (USDP),$0.9951,-0.04%,-0.01%,0.22%,873.61M,"$873,606,696","$56,761,057","57,043,246 USDP","878,084,065 USDP"
58,Optimism (OP),$2.75,0.09%,5.69%,19.11%,866.73M,"$866,726,064","$555,987,322","201,141,885 OP","314,844,141 OP"
59,Maker (MKR),$877.72,-0.01%,-1.55%,-1.70%,855.43M,"$855,426,059","$120,313,952","137,076 MKR","977,631 MKR"
60,Synthetix (SNX),$3.23,3.53%,4.25%,14.99%,817.81M,"$817,814,419","$185,784,848","56,678,091 SNX","253,362,442 SNX"
61,Chiliz (CHZ),$0.1232,0.01%,4.20%,4.45%,828.01M,"$828,011,190","$108,487,707","878,906,619 CHZ","6,718,673,350 CHZ"
62,Neo (NEO),$11.60,-0.02%,5.07%,6.28%,817.94M,"$817,936,649","$97,528,747","8,370,879 NEO","70,538,831 NEO"
63,Rocket (RPL),$42.37,-0.79%,-0.53%,13.79%,809.72M,"$809,720,866","$15,580,344","367,301 RPL","19,113,413 RPL"
64,Terra (LUNC),$0.0001348,-0.04%,0.82%,-2.74%,796.85M,"$796,854,383","$135,536,748","1,000,496,665,888 LUNC","5,911,778,850,852 LUNC"
65,Klaytn (KLAY),$0.2532,0.49%,3.43%,16.69%,779.18M,"$779,180,357","$74,559,696","294,606,839 KLAY","3,077,224,558 KLAY"
66,Curve (CRV),$1.01,0.37%,2.62%,5.50%,752.08M,"$752,083,920","$124,903,677","123,713,527 CRV","747,764,595 CRV"
67,Mina (MINA),$0.8394,0.66%,13.62%,12.12%,728.33M,"$728,328,706","$102,406,521","121,037,324 MINA","867,708,715 MINA"
68,USDD (USDD),$0.9923,-0.13%,-0.08%,-0.83%,719.34M,"$719,337,676","$15,490,913","15,616,797 USDD","725,332,036 USDD"
69,Bitcoin (BSV),$37.10,-0.08%,2.56%,0.31%,714.87M,"$714,872,321","$48,600,893","1,308,230 BSV","19,266,077 BSV"
70,Frax (FXS),$9.31,-0.81%,4.11%,0.62%,693.70M,"$693,697,538","$103,906,003","11,090,439 FXS","74,491,230 FXS"
71,PancakeSwap (CAKE),$3.82,0.23%,1.56%,3.20%,691.68M,"$691,682,480","$59,531,625","15,532,004 CAKE","180,822,681 CAKE"
72,Huobi (HT),$4.24,-0.22%,4.76%,-12.30%,686.78M,"$686,776,003","$23,180,039","5,468,482 HT","162,233,844 HT"
73,Dash (DASH),$59.04,0.46%,5.97%,-2.40%,656.56M,"$656,560,424","$132,986,276","2,242,523 DASH","11,120,725 DASH"
74,GMX (GMX),$75.52,-0.67%,0.74%,5.81%,644.52M,"$644,517,022","$107,963,613","1,426,478 GMX","8,546,486 GMX"
75,BitTorrent (BTT),$0.0000006773,0.06%,2.91%,-0.93%,644.31M,"$644,314,580","$15,360,431","22,674,794,487,931 BTT","951,421,714,286,000 BTT"
76,SingularityNET (AGIX),$0.532,-1.18%,36.04%,34.30%,642.21M,"$642,213,569","$656,194,937","1,233,486,256 AGIX","1,205,320,858 AGIX"
77,eCash (XEC),$0.00003183,-0.04%,2.43%,6.78%,613.47M,"$613,472,174","$13,078,796","410,914,206,990 XEC","19,333,642,173,303 XEC"
78,IOTA (MIOTA),$0.2196,-0.40%,2.16%,8.22%,610.29M,"$610,291,633","$14,747,696","66,972,529 MIOTA","2,779,530,283 MIOTA"
79,Gemini (GUSD),$0.9909,-0.44%,-0.27%,0.13%,601.52M,"$601,520,918","$1,423,687","1,438,874 GUSD","607,049,883 GUSD"
80,Zcash (ZEC),$36.71,0.14%,4.09%,-0.46%,597.39M,"$597,390,951","$67,952,353","1,850,917 ZEC","16,328,269 ZEC"
81,GateToken (GT),$5.46,-0.02%,2.10%,14.20%,591.97M,"$591,966,462","$3,586,975","655,729 GT","108,265,077 GT"
82,Render (RNDR),$1.47,-0.15%,15.36%,29.34%,532.27M,"$532,273,288","$176,992,384","118,898,083 RNDR","361,444,954 RNDR"
83,Trust (TWT),$1.28,-0.60%,1.35%,5.68%,532.17M,"$532,173,545","$51,931,924","40,477,743 TWT","416,649,900 TWT"
84,PAX (PAXG),"$1,914.74",-0.13%,-0.58%,6.14%,519.44M,"$519,441,730","$24,495,685","12,789 PAXG","271,264 PAXG"
85,Kava (KAVA),$1.13,0.50%,3.73%,37.44%,502.13M,"$502,127,351","$64,559,978","56,870,240 KAVA","442,418,307 KAVA"
86,THORChain (RUNE),$1.45,-0.07%,3.47%,1.18%,475.70M,"$475,703,349","$88,044,630","60,384,984 RUNE","327,056,566 RUNE"
87,Loopring (LRC),$0.3495,-0.37%,7.09%,11.77%,464.92M,"$464,918,787","$70,985,938","202,077,336 LRC","1,330,133,546 LRC"
88,Zilliqa (ZIL),$0.02913,-0.39%,10.39%,13.32%,460.09M,"$460,092,078","$90,512,740","3,107,041,576 ZIL","15,867,699,447 ZIL"
89,Convex (CVX),$5.95,-0.10%,6.49%,1.49%,448.81M,"$448,809,846","$18,539,097","3,102,838 CVX","75,446,204 CVX"
90,inch (INCH),$0.5332,-0.21%,6.36%,7.13%,444.73M,"$444,730,876","$35,077,595","65,631,821 1INCH","834,199,314 1INCH"
91,Osmosis (OSMO),$0.8941,-1.53%,3.31%,7.32%,440.43M,"$440,431,339","$23,229,487","25,942,152 OSMO","492,590,761 OSMO"
92,Enjin (ENJ),$0.4346,-0.37%,5.94%,5.95%,434.51M,"$434,509,959","$56,681,759","129,992,740 ENJ","1,000,000,000 ENJ"
93,XDC (XDC),$0.03081,1.57%,3.32%,4.01%,425.86M,"$425,855,590","$2,339,354","75,710,256 XDC","13,821,785,415 XDC"
94,Fei (FEI),$0.9874,-1.12%,-0.87%,-0.95%,419.07M,"$419,065,418","$350,893","355,355 FEI","424,996,178 FEI"
95,ssv (SSV),$41.29,0.17%,7.49%,2.12%,412.86M,"$412,857,870","$66,807,306","1,609,388 SSV","10,000,000 SSV"
96,dYdX (DYDX),$2.63,-0.07%,8.88%,18.95%,411.03M,"$411,034,257","$246,252,779","93,136,188 DYDX","156,256,174 DYDX"
97,Casper (CSPR),$0.0378,0.18%,2.34%,-1.38%,409.29M,"$409,288,596","$9,644,475","254,523,412 CSPR","10,825,650,790 CSPR"
98,Flare (FLR),$0.03344,0.02%,-0.21%,-4.81%,401.02M,"$401,021,846","$15,336,057","457,751,107 FLR","11,999,991,148 FLR"
99,Threshold (T),$0.04542,-0.81%,8.74%,25.32%,394.51M,"$394,513,605","$372,007,424","8,190,443,954 T","8,722,998,578 T"
100,EthereumPoW (ETHW),$3.53,-0.37%,2.93%,5.28%,380.98M,"$380,983,215","$18,809,100","5,312,915 ETHW","107,818,999 ETHW"
